-3 -3 6
-3 -2.9 6.1
-3 -2.8 6.2
-3 -2.7 6.3
-3 -2.6 6.4
-3 -2.5 6.5
-3 -2.4 6.6
-3 -2.3 6.7
-3 -2.2 6.8
-3 -2.1 6.9
-3 -2 7
-3 -1.9 7.1
-3 -1.8 7.2
-3 -1.7 7.3
-3 -1.6 7.4
-3 -1.5 7.5
-3 -1.4 7.6
-3 -1.3 7.7
-3 -1.2 7.8
-3 -1.1 7.9
-3 -1 8
-3 -0.9 8.1
-3 -0.8 8.2
-3 -0.7 8.3
-3 -0.6 8.4
-3 -0.5 8.5
-3 -0.4 8.6
-3 -0.3 8.7
-3 -0.2 8.8
-3 -0.1 8.9
-3 1.52656e-15 9
-3 0.1 9.1
-3 0.2 9.2
-3 0.3 9.3
-3 0.4 9.4
-3 0.5 9.5
-3 0.6 9.6
-3 0.7 9.7
-3 0.8 9.8
-3 0.9 9.9
-3 1 10
-3 1.1 10.1
-3 1.2 10.2
-3 1.3 10.3
-3 1.4 10.4
-3 1.5 10.5
-3 1.6 10.6
-3 1.7 10.7
-3 1.8 10.8
-3 1.9 10.9
-3 2 11
-3 2.1 11.1
-3 2.2 11.2
-3 2.3 11.3
-3 2.4 11.4
-3 2.5 11.5
-3 2.6 11.6
-3 2.7 11.7
-3 2.8 11.8
-3 2.9 11.9

-2.9 -3 5.41
-2.9 -2.9 5.51
-2.9 -2.8 5.61
-2.9 -2.7 5.71
-2.9 -2.6 5.81
-2.9 -2.5 5.91
-2.9 -2.4 6.01
-2.9 -2.3 6.11
-2.9 -2.2 6.21
-2.9 -2.1 6.31
-2.9 -2 6.41
-2.9 -1.9 6.51
-2.9 -1.8 6.61
-2.9 -1.7 6.71
-2.9 -1.6 6.81
-2.9 -1.5 6.91
-2.9 -1.4 7.01
-2.9 -1.3 7.11
-2.9 -1.2 7.21
-2.9 -1.1 7.31
-2.9 -1 7.41
-2.9 -0.9 7.51
-2.9 -0.8 7.61
-2.9 -0.7 7.71
-2.9 -0.6 7.81
-2.9 -0.5 7.91
-2.9 -0.4 8.01
-2.9 -0.3 8.11
-2.9 -0.2 8.21
-2.9 -0.1 8.31
-2.9 1.52656e-15 8.41
-2.9 0.1 8.51
-2.9 0.2 8.61
-2.9 0.3 8.71
-2.9 0.4 8.81
-2.9 0.5 8.91
-2.9 0.6 9.01
-2.9 0.7 9.11
-2.9 0.8 9.21
-2.9 0.9 9.31
-2.9 1 9.41
-2.9 1.1 9.51
-2.9 1.2 9.61
-2.9 1.3 9.71
-2.9 1.4 9.81
-2.9 1.5 9.91
-2.9 1.6 10.01
-2.9 1.7 10.11
-2.9 1.8 10.21
